id1,used,used2,id,id2,name,date_,nocollared,season,how_obtain,confidence,packid,pack,disthha,easting,northing,distacc,wolfwin,sheepwi,goatwin,elkwint,moosewi,deerwin,elevati,landcov,rowid_,value,count,habitattyp,AlpineHerb,AlpineShrub,BurnForest,BurnGrassland,BurnShrub,ClosedConifer,Cloud,Herbaceous,MixedForest,ModerateConifer,OpenConifer,RockIce,Shrub,Water,burn
1385,0,0,0,0,0,,0,,0,0,0,Bow valley,6644.64,582810,5730255,785.18,4,6,5,4,3,3,2201,10,13,10,3254214,Rock-Ice,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
827,0,0,0,0,0,,0,,0,0,0,Bow valley,942.02,562675,5693046,942.02,4,3,1,4,5,4,1607,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
978,0,0,0,0,0,,0,,0,0,0,Bow valley,240,573001,5680066,240,5,4,1,5,5,4,1490,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1122,0,0,0,0,0,,0,,0,0,0,Bow valley,445.98,579834,5676521,445.98,5,3,3,3,4,5,1504,3,3,3,1145298,Closed Conifer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1319,0,0,0,0,0,,0,,0,0,0,Bow valley,597.75,564060,5706490,597.75,3,1,1,3,3,3,2226,10,13,10,3254214,Rock-Ice,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
982,0,0,0,0,0,,0,,0,0,0,Bow valley,649,587425,5670109,649,4,4,3,4,4,4,1614,3,3,3,1145298,Closed Conifer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1257,0,0,0,0,0,,0,,0,0,0,Bow valley,849.06,559943,5712824,849.06,4,3,3,4,5,4,1880,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1072,0,0,0,0,0,,0,,0,0,0,Bow valley,708.03,591516,5670075,708.03,4,5,5,4,3,4,1772,8,12,8,341073,Shrub,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
595,0,0,0,0,0,,0,,0,0,0,Bow valley,0,591852,5664683,0,4,3,3,4,4,4,1519,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1134,0,0,0,0,0,,0,,0,0,0,Bow valley,853.81,578981,5676590,853.81,5,3,3,3,4,5,1697,3,3,3,1145298,Closed Conifer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
184,1,1,186,1363,63,12/26/02,1,winter,2,1,2,Bow valley,408.04,586200,5674050,408.04,5,3,1,5,5,5,1402,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
825,0,0,0,0,0,,0,,0,0,0,Bow valley,300,591688,5667436,300,4,4,3,4,4,4,1500,3,3,3,1145298,Closed Conifer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
583,0,0,0,0,0,,0,,0,0,0,Bow valley,2100.21,578964,5681216,2100.21,5,5,5,5,4,5,1759,3,3,3,1145298,Closed Conifer,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
428,0,0,0,0,0,,0,,0,0,0,Bow valley,371.08,571582,5678820,189.74,4,1,1,3,4,4,1613,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1371,0,0,0,0,0,,0,,0,0,0,Bow valley,13112.78,576768,5724782,94.87,4,3,3,4,4,4,1859,2,2,2,1862186,Moderate Conifer,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
