"deer_w2","moose_w2","elk_w2","sheep_w2","goat_w2","wolf_w2","Elevation2","DistFromHumanAccess2","DistFromHighHumanAccess2","pack","used"
4,5,4,3,1,4,1467.56666666667,476.979824506998,443.973006790504,"Bow Valley",1
4,5,4,3,1,4,1473.50000000013,542.343501336152,532.801708539093,"Bow Valley",1
4,5,4,3,1,4,1477.95288888916,91.6102146483408,0,"Bow Valley",1
4,5,4,3,1,4,1481.26044444449,610.656932590087,632.677022083997,"Bow Valley",1
4,5,4,3,1,4,1486.31999999962,84.1720542984952,0,"Bow Valley",1
4,5,4,3,1,4,1493.37999999988,137.413440466858,157.982441955744,"Bow Valley",1
4,5,4,3,1,4,1494.34711111134,398.384585564871,166.124320310062,"Bow Valley",1
4,5,4,3,1,4,1514.45377777757,231.801402486978,212.482947376377,"Bow Valley",1
4,5,4,3,1,4,1526.30666666679,300.967086138911,236.587242648005,"Bow Valley",1
4,5,4,3,1,4,1548.27288888878,252.932088284033,141.040040298077,"Bow Valley",1
4,5,4,3,1,4,1569.81333333321,481.335352954746,1189.23018483248,"Red Deer",1
4,5,4,3,1,4,1569.81333333321,481.335352954746,1189.23018483248,"Red Deer",1
4,5,4,3,1,4,1578.59999999981,440.202995246434,153.789750771548,"Bow Valley",1
4,5,4,3,1,4,1583.12000000025,8.52360412042671,0,"Bow Valley",1
