"deer_w2","moose_w2","elk_w2","sheep_w2","goat_w2","wolf_w2","Elevation2","DistFromHumanAccess2","DistFromHighHumanAccess2","landcover16","EASTING","NORTHING","pack","used","usedFactor"
6,3,6,1,3,6,1546.45244444417,632.423707450459,449.143249511719,3,588200,5673100,"Bow Valley",1,"1"
5,5,5,3,1,5,1420.36622222218,259.521356869637,166.753402709961,2,582200,5675850,"Bow Valley",1,"1"
6,1,6,5,1,6,1409.67955555551,9.68403335800394,196.894775390625,8,584900,5675850,"Bow Valley",1,"1"
6,3,4,1,1,5,1423.28666666648,200.802881416321,91.822021484375,3,584800,5676200,"Bow Valley",1,"1"
4,4,4,1,1,5,1402.78000000006,84.1720542984952,144.931503295898,2,586800,5672050,"Bow Valley",1,"1"
6,3,4,1,1,5,1415.31333333333,154.859902936087,91.822021484375,5,584800,5676050,"Bow Valley",1,"1"
5,5,4,4,3,5,1402,285.374368070364,254.552780151367,5,589400,5669300,"Bow Valley",1,"1"
4,5,4,3,1,4,1448.31999999988,377.413440466859,293.972991943359,2,578850,5679350,"Bow Valley",1,"1"
3,5,4,1,3,4,1433,168.28096696933,94.0912551879883,2,577200,5678950,"Bow Valley",1,"1"
4,4,4,1,1,4,1440,280.640437269106,194.40705871582,2,573450,5681500,"Bow Valley",1,"1"
5,5,5,3,1,5,1426.38711111103,381.542329808949,343.377685546875,2,582400,5675900,"Bow Valley",1,"1"
5,5,5,3,1,5,1430,371.539485523417,73.7212829589844,2,582150,5676100,"Bow Valley",1,"1"
6,3,4,1,1,5,1434.78000000006,341.776298860189,328.303802490234,2,583600,5676400,"Bow Valley",1,"1"
5,4,5,4,3,5,1445.59333333327,602.233262393367,494.848602294922,2,585600,5675800,"Bow Valley",1,"1"
6,3,4,1,1,5,1458.30666666586,295.296264916623,91.822021484375,3,584800,5676370,"Bow Valley",1,"1"
5,5,5,3,1,5,1420,210.593746626237,159.243316650391,9,580000,5677300,"Bow Valley",1,"1"
6,1,6,5,1,6,1423.12666666654,182.282449085238,449.052001953125,12,585200,5676000,"Bow Valley",1,"1"
3,5,4,1,3,4,1443.43999999987,27.9095144816908,5.64884090423584,2,574300,5681150,"Bow Valley",1,"1"
5,5,5,3,1,5,1432,449.894335007433,243.296005249023,9,579600,5678400,"Bow Valley",1,"1"
5,4,5,4,3,5,1472.03333333314,249.684033358004,649.932922363281,3,585400,5676300,"Bow Valley",1,"1"
5,5,5,3,1,5,1419.53333333327,201.850106228637,221.563415527344,2,582450,5675700,"Bow Valley",1,"1"
6,3,4,1,1,5,1421.83377777745,216.329305451748,175.403671264648,8,583900,5675600,"Bow Valley",1,"1"
5,5,5,3,1,5,1402,364.83908144586,264.223022460938,7,585400,5674600,"Bow Valley",1,"1"
4,5,5,3,3,5,1433,42.5865595331416,118.782005310059,8,579051,5678956,"Bow Valley",1,"1"
4,4,4,1,1,4,1441,27.9095144816908,13.861421585083,8,573600,5681700,"Bow Valley",1,"1"
6,3,4,1,1,5,1445.17955555539,17.4134404668584,0,1,582950,5676250,"Bow Valley",1,"1"
6,1,6,5,1,6,1402,162.586559533142,283.040618896484,5,584300,5675500,"Bow Valley",1,"1"
6,3,4,1,1,5,1448.13377777769,115.3625780016,0,2,582300,5676700,"Bow Valley",1,"1"
6,3,4,1,1,5,1507.03999999969,328.769132683283,173.795700073242,3,584800,5676500,"Bow Valley",1,"1"
4,4,4,4,3,4,1538.10711111109,130.153522332459,465.034088134766,3,584800,5676850,"Bow Valley",1,"1"
5,5,5,3,1,5,1417.58622222212,207.356588559248,74.9770355224609,3,585560,5675200,"Bow Valley",1,"1"
6,3,4,1,1,5,1559.70622222211,411.289444044778,198.045974731445,3,584100,5677000,"Bow Valley",1,"1"
6,3,4,1,1,5,1411.31333333333,20.3159666419961,181.822021484375,5,584890,5675900,"Bow Valley",1,"1"
5,3,5,1,1,5,1413.09288888853,8.52360412042671,1.07716369628906,2,589658,5670521,"Bow Valley",1,"1"
6,3,4,1,1,5,1436.95333333284,252.932088284033,91.822021484375,3,584800,5676300,"Bow Valley",1,"1"
4,4,4,4,3,4,1506.01333333309,110.315966641996,414.095642089844,3,585000,5676600,"Bow Valley",1,"1"
6,4,6,1,3,6,1402.36622222218,23.8047225996683,65.0236053466797,5,585922,5674697,"Bow Valley",1,"1"
4,5,4,3,1,4,1467.56666666667,476.979824506998,443.972991943359,3,578750,5679500,"Bow Valley",1,"1"
4,5,4,3,1,4,1473.50000000013,542.343501336152,532.801696777344,3,578700,5679600,"Bow Valley",1,"1"
5,5,5,3,1,5,1402,248.833259521545,328.96875,5,584158,5675434,"Bow Valley",1,"1"
6,4,6,1,3,6,1402,102.98244806327,97.8487854003906,7,585700,5674700,"Bow Valley",1,"1"
4,3,4,5,5,4,1788.83288888772,1077.67564119367,848.444274902344,2,588500,5673500,"Bow Valley",1,"1"
6,1,6,5,1,6,1402,151.3415898572,77.3640823364258,7,584850,5675250,"Bow Valley",1,"1"
4,5,4,3,1,4,1437.32711111103,227.413440466858,143.973007202148,2,578850,5679200,"Bow Valley",1,"1"
4,5,4,3,1,4,1439.54711111097,192.531576330876,113.973007202148,2,578800,5679170,"Bow Valley",1,"1"
4,4,4,1,1,4,1441.36622222218,12.5865595331416,13.5650215148926,8,573611,5681700,"Bow Valley",1,"1"
4,4,4,1,1,4,1437,359.026659211658,181.121047973633,2,573870,5681130,"Bow Valley",1,"1"
6,1,6,5,1,6,1403.21999999994,169.009054638249,143.822082519531,12,585000,5675600,"Bow Valley",1,"1"
4,4,4,3,1,4,1458.96044444399,128.326724180298,159.766723632812,3,578500,5679250,"Bow Valley",1,"1"
6,4,6,1,3,6,1402,192.665658802464,86.4990005493164,7,585470,5674750,"Bow Valley",1,"1"
5,3,5,1,1,5,1424.9066666666,320.069902221054,127.122779846191,2,585600,5675300,"Bow Valley",1,"1"
4,4,4,1,1,4,1440,320.62374658565,204.347595214844,2,573400,5681500,"Bow Valley",1,"1"
5,5,5,3,1,5,1402,380.066905509138,301.42919921875,2,585300,5674100,"Bow Valley",1,"1"
6,3,4,1,1,5,1450.06088888854,50.4233282040352,0,2,582800,5676400,"Bow Valley",1,"1"
4,6,5,1,1,5,1402.53333333327,158.657543089597,209.530914306641,5,588900,5671350,"Bow Valley",1,"1"
4,5,4,3,1,4,1481.26044444449,610.656932590087,632.677001953125,2,578500,5679800,"Bow Valley",1,"1"
4,4,4,1,1,4,1491.53333333327,23.8047225996683,0,1,567900,5685700,"Bow Valley",1,"1"
6,4,6,1,3,6,1402,263.51201571437,166.373168945312,7,585400,5674700,"Bow Valley",1,"1"
5,5,5,3,1,5,1402,294.699133465825,314.013336181641,5,585100,5674200,"Bow Valley",1,"1"
4,5,4,3,1,4,1585,115.164087714772,29.5074977874756,2,558900,5696500,"Bow Valley",1,"1"
4,5,4,3,1,4,1583.12000000025,8.52360412042671,0,8,556600,5696600,"Bow Valley",1,"1"
4,4,4,1,1,4,1433,235.924426142286,5.03625535964966,2,577950,5679100,"Bow Valley",1,"1"
4,5,5,4,1,5,1433,84.1720542984952,33.0987968444824,2,577700,5678400,"Bow Valley",1,"1"
6,3,4,1,1,5,1490.35333333302,195.791261918878,98.9301300048828,3,583500,5677050,"Bow Valley",1,"1"
5,1,4,6,5,5,1736.26755555445,600.19059445165,552.403442382812,3,583900,5677500,"Bow Valley",1,"1"
6,3,4,1,1,5,1412.53333333327,53.7278320642496,211.822021484375,5,584900,5676000,"Bow Valley",1,"1"
6,3,4,1,1,5,1543.90044444399,349.953720361467,369.11328125,3,583170,5677480,"Bow Valley",1,"1"
6,1,6,5,1,6,1402.53333333327,40.2065353556904,46.1600341796875,5,584600,5675600,"Bow Valley",1,"1"
6,1,6,5,1,6,1402.53333333327,40.2065353556904,46.1600341796875,5,584600,5675600,"Bow Valley",1,"1"
6,1,6,5,1,6,1402.53333333327,40.2065353556904,46.1600341796875,5,584600,5675600,"Bow Valley",1,"1"
6,4,6,1,3,6,1406.53333333327,8.52360412042671,5.64867067337036,5,585477,5674985,"Bow Valley",1,"1"
6,1,6,5,1,6,1407.70044444436,19.8905687136943,172.905059814453,8,584900,5675800,"Bow Valley",1,"1"
6,1,6,5,1,6,1402.84666666661,8.52360412042671,27.1609745025635,5,584650,5675650,"Bow Valley",1,"1"
6,3,4,1,1,5,1525.83333333258,260.474513996247,169.475357055664,3,582150,5677300,"Bow Valley",1,"1"
5,5,5,3,1,5,1402,508.431497835921,464.471435546875,2,586800,5673150,"Bow Valley",1,"1"
3,5,4,1,3,4,1433,165.970442172393,0,2,576700,5679200,"Bow Valley",1,"1"
5,5,5,3,1,5,1402,248.594673146122,273.887939453125,7,585150,5674880,"Bow Valley",1,"1"
5,5,5,3,1,5,1431,400.03120029005,361.101623535156,10,580500,5677500,"Bow Valley",1,"1"
5,5,5,3,1,5,1402,493.59657676138,369.063201904297,9,588800,5670500,"Bow Valley",1,"1"
6,3,4,1,1,5,1410.70044444436,91.6102146483408,50.4637794494629,2,584750,5675790,"Bow Valley",1,"1"
5,3,5,1,1,5,1469.34666666648,504.386901183749,356.336090087891,2,586500,5674950,"Bow Valley",1,"1"
5,3,5,1,1,5,1413.9066666666,344.657092011614,169.720291137695,2,585300,5675550,"Bow Valley",1,"1"
5,5,5,3,1,5,1438.34666666648,400.854435504489,297.549896240234,12,587200,5674100,"Bow Valley",1,"1"
6,3,4,1,1,5,1413.84666666661,83.5565601417667,121.822021484375,5,584820,5675950,"Bow Valley",1,"1"
6,3,4,1,1,5,1487.38666666617,143.713726822205,13.1015949249268,3,583700,5676950,"Bow Valley",1,"1"
5,5,5,3,1,5,1433,162.586559533142,246.026992797852,1,578690,5678810,"Bow Valley",1,"1"
6,3,4,1,1,5,1410.21288888878,69.4012387859752,74.952033996582,10,584800,5675800,"Bow Valley",1,"1"
6,3,4,1,1,5,1414.84666666661,112.67984818431,91.822021484375,5,584800,5675950,"Bow Valley",1,"1"
6,3,4,1,1,5,1426.45377777757,215.414420481845,91.822021484375,3,584800,5676250,"Bow Valley",1,"1"
6,3,4,1,1,5,1415.48044444443,120,61.8220176696777,10,584750,5675900,"Bow Valley",1,"1"
6,3,4,1,1,5,1414.31333333333,110.315966641996,91.822021484375,10,584800,5675900,"Bow Valley",1,"1"
5,5,5,3,1,5,1433,192.586559533142,276.027008056641,1,578730,5678800,"Bow Valley",1,"1"
6,3,4,1,1,5,1524.80577777745,382.615172988097,171.006072998047,3,584600,5676600,"Bow Valley",1,"1"
4,5,4,3,1,4,1440.64044444437,377.413440466859,293.972991943359,2,578900,5679350,"Bow Valley",1,"1"
5,5,5,3,1,5,1402,360.188208444213,346.876953125,9,584150,5675300,"Bow Valley",1,"1"
6,1,6,5,1,6,1411.53333333327,12.5865595331416,301.822021484375,7,585000,5675950,"Bow Valley",1,"1"
5,5,5,3,1,5,1434.49288888872,275.776006404875,154.060119628906,12,588700,5672095,"Bow Valley",1,"1"
5,5,5,3,1,5,1402,129.667856707322,17.2617416381836,2,586770,5673750,"Bow Valley",1,"1"
5,5,5,3,1,5,1447.28666666648,370.043911010924,242.620452880859,2,588200,5672500,"Bow Valley",1,"1"
5,5,5,3,1,5,1403.58622222212,128.812389805435,33.6137771606445,12,587100,5673800,"Bow Valley",1,"1"
5,5,5,3,1,5,1437.80622222205,270.619071570127,166.303649902344,12,588025,5672480,"Bow Valley",1,"1"
5,5,5,3,1,5,1404.58622222212,12.5865595331416,31.0643177032471,1,588700,5671750,"Bow Valley",1,"1"
5,5,5,3,1,5,1402,441.598966735329,235.576095581055,2,586300,5673900,"Bow Valley",1,"1"
5,5,5,3,1,5,1402,213.569481938684,60.2204399108887,2,586500,5674000,"Bow Valley",1,"1"
5,4,5,3,3,5,1433.36622222218,47.4134404668584,21.1917190551758,2,581900,5677000,"Bow Valley",1,"1"
5,5,5,3,1,5,1402,234.676813572098,91.812629699707,2,588137,5670704,"Bow Valley",1,"1"
5,3,5,1,1,5,1416.28666666648,115.3625780016,8.68742847442627,2,588200,5672200,"Bow Valley",1,"1"
4,4,4,1,3,4,1449.89955555545,0,0,8,575368,5680385,"Bow Valley",1,"1"
4,4,4,1,3,4,1436.36622222218,24.3789220547109,20.0678310394287,8,576487,5679665,"Bow Valley",1,"1"
4,5,5,4,1,5,1498.43999999987,593.319019567085,570.047607421875,2,563750,5691050,"Bow Valley",1,"1"
4,4,4,1,3,4,1497.27999999993,27.9095144816908,0,2,568850,5684950,"Bow Valley",1,"1"
4,5,4,3,1,4,1462.93288888885,489.685352622601,443.972991943359,3,578800,5679520,"Bow Valley",1,"1"
4,5,4,3,1,4,1514.45377777757,231.801402486978,212.482940673828,2,567000,5687000,"Bow Valley",1,"1"
5,5,5,3,1,5,1441.93288888859,358.901524850215,95.6322479248047,12,587700,5673400,"Bow Valley",1,"1"
6,4,6,6,1,6,1490.39377777732,608.830537493589,482.466613769531,12,587350,5674250,"Bow Valley",1,"1"
6,3,4,1,1,5,1473.94666666629,69.6840333580039,553.081848144531,3,585200,5676500,"Bow Valley",1,"1"
3,4,4,3,4,4,1856.68711111195,1631.43706684753,1630.21032714844,3,587700,5675550,"Bow Valley",1,"1"
