"deer_w2","moose_w2","elk_w2","sheep_w2","goat_w2","wolf_w2","Elevation2","DistFromHumanAccess2","DistFromHighHumanAccess2","pack","used"
,,,,,,1967.56666666667,454.219553239142,615.439211955777,"Red Deer",0
,,,,,,2681.34177777794,3246.73366145949,9145.24888868654,"Red Deer",0
1,1,1,1,4,1,2768.77511111323,2481.21213503186,3856.2596988397,"Red Deer",0
,,,,,,2847.85377777895,2047.63590385972,3683.46968179047,"Red Deer",0
3,3,3,4,4,3,2071.48044444443,1422.99092777976,1319.67322009194,"Red Deer",0
1,1,1,1,4,1,2316.40666666834,532.606620267965,585.676772812594,"Red Deer",0
,,,,,,1922.14622222224,40.5056344341433,28.9286104645663,"Red Deer",0
,,,,,,2642.69822222335,901.152670851495,12836.9311877108,"Red Deer",0
3,3,4,6,5,4,2160.89288888942,687.511718123457,6928.69918215467,"Red Deer",0
1,1,1,5,5,3,2480.56666666641,5249.45306188825,5414.27917567628,"Red Deer",0
4,3,3,5,6,4,2361.8324444443,1493.46951946079,10505.0675880973,"Red Deer",0
1,1,1,1,4,1,2278.36711110979,1313.95620994155,4398.03293529497,"Red Deer",0
5,1,3,4,4,4,2169.87333333346,3371.27774514873,9317.74608628592,"Red Deer",0
,,,,,,2209.03244444435,2385.88608609839,2615.38809890052,"Red Deer",0
5,1,3,4,4,4,2178.64755555577,110.315966641996,1621.00952155784,"Red Deer",0
1,1,1,5,5,3,2433.81333333295,2251.14196031487,5714.12750822269,"Red Deer",0
1,1,3,5,4,3,2399.77377777813,3850.17135468025,9896.16911540551,"Red Deer",0
4,4,4,4,3,4,1855.92000000011,605.117063697907,5538.01219913188,"Red Deer",0
1,1,1,1,4,1,2496.1724444433,3518.28173775292,3354.43544669265,"Red Deer",0
1,1,1,1,4,1,2668.93288888978,2473.46021652029,2355.18545618364,"Red Deer",0
4,5,3,1,1,4,1779.70711111065,210.593746626237,22.3659546272234,"Red Deer",0
1,1,1,1,1,1,2462.13955555544,3113.55555839242,3383.27803110028,"Red Deer",0
5,3,6,1,5,6,1832.37999999988,59.7971629254433,13409.9641379013,"Red Deer",0
3,3,3,4,4,3,2126.25911111108,6893.02276637018,6969.20914938668,"Red Deer",0
1,1,1,1,4,1,2537.7928888899,4012.33629829038,9564.77179753723,"Red Deer",0
4,3,3,3,1,4,2290.17333333277,855.982291615694,643.055174246306,"Red Deer",0
,,,,,,2195.48044444375,213.216587808096,12309.6853229557,"Red Deer",0
3,3,3,5,5,3,2296.01955555519,819.914353439872,689.426970974309,"Red Deer",0
1,3,3,5,5,3,2413.20000000056,1287.34549620125,13467.293266658,"Red Deer",0
1,1,1,1,4,1,2258.14044444491,2091.76100586557,3333.02339660648,"Red Deer",0
,,,,,,1814.28666666648,37.3040091805528,6108.04538709894,"Red Deer",0
,,,,,,1633.84666666661,227.130215496975,168.337604104482,"Red Deer",0
4,6,3,1,1,5,2135.28000000019,342.646290317827,1487.17181603383,"Red Deer",0
5,4,4,1,4,5,2237.55333333172,133.680857718958,0,"Red Deer",0
